rank,handler,call_name,registered_name,size,country,mu,sigma,displayed_rating,tier,provisional,num_runs,last_competition
394,Zakotnik Vladimira,,Baldemar go with Moanaparas,Small,SVN,26.108,5.2446,1415.0,Competitor,true,9,Austrian Agility Open 2025
395,Lucie Jerabkova,Jessie,,Small,CZE,23.8592,4.5004,1414.3,Competitor,true,12,"Polish Open SOFT 2024 (XS, S & M)"
396,Marjo Kuha,,LELLUKAN CARAMELLII EHDOTTOMASTI,Small,,28.6825,6.1118,1413.9,Competitor,true,6,Midsummer Dog Sports Festival 2025
397,Reka Novak,Maeve,Endless love of Summergarden,Small,HUN,23.7985,4.4846,1413.8,Competitor,true,12,Slovenian Open 2024
398,Guido Vatter,Noa,,Small,DEU,26.9321,5.5296,1413.7,Competitor,true,8,JOAWC/SOAWC 2025
399,Lenka Svaková,,Ikey Black Malá Magura,Small,,23.8079,4.4952,1412.9,Competitor,true,12,Moravia Open 2025
400,Mark Anthony Herfert,Rêv,,Small,AUS,28.6258,6.107,1412.2,Competitor,true,6,ProsecCup 2025
401,Flavia Militto,Izzie,,Small,ITA,26.0438,5.2472,1412.1,Competitor,true,9,EO 2025
402,Vlasta Pirc,Arin,Mercedes Lovly Tina,Small,SVN,20.7123,3.471,1412.0,Competitor,false,17,Slovenian Open 2024
403,Margherita Silvi,Rokkitassun Cupcake,ROKKITASSUN I’M BLACK MAGIC BI,Small,ITA,23.7223,4.4866,1410.5,Competitor,true,12,Slovenian Open 2025
404,Adrianna Mańczak,Papitto,,Small,POL,23.7356,4.493,1410.3,Competitor,true,12,"Polish Open 2026 (XS, S & M)"
405,Arndt Franziska,Yuca,,Small,DEU,27.7014,5.8184,1409.8,Competitor,true,7,"Polish Open 2024 (XS, S & M)"
406,Nathalie de Korte-Tarant,Zippy,,Small,FIN,25.9636,5.2396,1409.8,Competitor,true,9,Dutch Open 2025
407,Michala Krejčí,,Fall Into The Highlight of Impressive Twilight,Small,,23.0271,4.2632,1409.5,Competitor,true,13,Moravia Open 2025
408,Liz Naylor,Skye,Ag Ch Devongem Bright Skye at Hornspike,Small,GBR,26.8071,5.5268,1409.1,Competitor,true,8,AWC 2025
409,Lucy Conway,Casino,Mezonyx All In On Black AW(S),Small,GBR,25.1898,4.9881,1409.0,Competitor,true,10,EO 2025
410,Soo yeon Choi,TOMMY,,Small,,27.6084,5.8002,1408.3,Competitor,true,7,Midsummer Dog Sports Festival 2025
411,Agnieszka Kowalik,Bibi,,Small,POL,23.6855,4.5002,1407.4,Competitor,true,12,"Polish Open SOFT 2024 (XS, S & M)"
412,Tomanová Kateřina,Everlasting Daisy,,Small,CZE,25.8944,5.2446,1406.4,Competitor,true,9,Prague Agility Party 2024
